"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\api\api_service.dart", "Dart", -12, 1, -6, -17
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\api\auth_service.dart", "Dart", 35, 0, 5, 40
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\api\json_service.dart", "Dart", 86, 1, 14, 101
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\auth\session.dart", "Dart", -17, -1, -4, -22
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\auth\user_session.dart", "Dart", 20, 0, 7, 27
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\model\budget.dart", "Dart", 16, 0, 1, 17
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\model\user.dart", "Dart", -1, -2, 0, -3
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\home-page\balance_display.dart", "Dart", 57, 0, 3, 60
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\home-page\budget_adding.dart", "Dart", 38, 0, 2, 40
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\home-page\budget_adding_menu.dart", "Dart", 87, 0, 7, 94
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\home-page\budget_editing_menu.dart", "Dart", 90, 0, 7, 97
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\home-page\budget_items_display.dart", "Dart", 174, 29, 6, 209
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\home-page\home_screen.dart", "Dart", -159, -4, -4, -167
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\home-page\slide_widget.dart", "Dart", 57, 1, 10, 68
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\home-page\user_greeting_widget.dart", "Dart", 43, 0, 3, 46
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\login-page\login_screen.dart", "Dart", -16, -3, -3, -22
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\messeges.dart", "Dart", -12, -1, -4, -17
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\registration-page\registration_screen.dart", "Dart", -14, 0, -2, -16
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\setting-page\setting_menu.dart", "Dart", 18, -1, 2, 19
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib\screens\setting-page\setting_screen.dart", "Dart", -1, 0, 0, -1
"Total", "-", 489, 20, 44, 553